ID,Shorthand Code,Grammatical Item,Sentence Type,CEFR-J Level,FREQ*DISP,Core Inventory,EGP,GSELO,Notes
81-3,PASS.FUTPF.INT.NEG,PASSIVE: FUTURE PERFECT,NEG. INT.,,,C1,N/A,,未来完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
82,PASS.MD.AFF,PASSIVE: AUX,AFF. DEC.,B1.2,B1,C1,B2,B2,助動詞はMDに限定
82-1,PASS.MD.NEG,PASSIVE: AUX,NEG. DEC.,,B2,C1,N/A,B2,助動詞はMDに限定
82-2,PASS.MD.INT.AFF,PASSIVE: AUX,AFF. INT.,,,C1,N/A,B2,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
82-3,PASS.MD.INT.NEG,PASSIVE: AUX,NEG. INT.,,,C1,N/A,B2,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
83,PASS.MDPRG.AFF,PASSIVE: AUX+PROGRESSIVE,AFF. DEC.,,,,N/A,,助動詞はMDに限定
83-1,PASS.MDPRG.NEG,PASSIVE: AUX+PROGRESSIVE,NEG. DEC.,,,,N/A,,助動詞はMDに限定
83-2,PASS.MDPRG.INT.AFF,PASSIVE: AUX+PROGRESSIVE,AFF. INT.,,,,N/A,,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
83-3,PASS.MDPRG.INT.NEG,PASSIVE: AUX+PROGRESSIVE,NEG. INT.,,,,N/A,,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
84,PASS.MDPF.AFF,PASSIVE: AUX+PERFECT,AFF. DEC.,,,B2-C1,N/A,,助動詞はMDに限定;助動詞+完了進行の受動態は省略
84-1,PASS.MDPF.NEG,PASSIVE: AUX+PERFECT,NEG. DEC.,,,B2-C1,N/A,,助動詞はMDに限定;助動詞+完了進行の受動態は省略
84-2,PASS.MDPF.INT.AFF,PASSIVE: AUX+PERFECT,AFF. INT.,,,B2-C1,N/A,,助動詞はMDに限定;助動詞+完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
84-3,PASS.MDPF.INT.NEG,PASSIVE: AUX+PERFECT,NEG. INT.,,,B2-C1,N/A,,助動詞はMDに限定;助動詞+完了進行の受動態は省略;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
85,PASS.IO.AFF,PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. DEC.,B2.1,B2,,B1-B2,B1,
85-1,PASS.IO.NEG,PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. DEC.,,,,N/A,B1,現在・過去の単純相に限定
85-2,PASS.IO.INT.AFF,PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. INT.,,,,N/A,B1,現在・過去の単純相に限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
85-3,PASS.IO.INT.NEG,PASSIVE: INDIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. INT.,,,,N/A,B1,現在・過去の単純相に限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
86,PASS.DO.AFF,PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. DEC.,,,,B2,,
86-1,PASS.DO.NEG,PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. DEC.,,,,N/A,,現在・過去の単純相に限定
86-2,PASS.DO.INT.AFF,PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,AFF. INT,,,,N/A,,現在・過去の単純相に限定；文頭(相当)または接続詞直後 の位置・疑問符で終わる文に限定
86-3,PASS.DO.INT.NEG,PASSIVE: DIRECT OBJECTS OF GIVE/PASS/SEND/SHOW/TEACH/TELL AS SUBJECTS,NEG. INT.,,,,N/A,,現在・過去の単純相に限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
87,PASS.get_VN,GET+PAST PARTICIPLE,,B1.2,A1,,B1,B1,getの時制・相は問わない
88,TO.to_do,TO-INFINITIVE: to DO (not preceded by 'not'),,A1.1,A1,A2,A1,A2,
89,TO.not_to_do,TO-INFINITIVE: not to DO,,B1.2,B1,,N/A,,
90,TO.to_have_done,TO-INFINITIVE: to have DONE,,,B2,,C1-C2,,完了・受動態のto不定詞も含まれる
91,TO.to_be_done,TO-INFINITIVE: to be DONE,,B2.1,B2,,B1-B2,,
92,TO.to_have_been_done,TO-INFINITIVE: to have been DONE,,,,,N/A,,
93,TO.for_NP_to_do,TO-INFINITIVE: WITH NOTIONAL SUBJECT,,B1.1,A2,,B2,,意味上の主語でないものも含まれる
94,TO.thing_to_do,-thing to DO,,,,,,,
95,TO.in_order_to_do,in order to DO,,B2.2,B2,,N/A,A2,
96,TO.in_order_not_to_do,in order not to DO,,,,,N/A,,
97,TO.so_as_to_do,so as to DO,,,,,C2,B1,
98,TO.so_as_not_to_do,so as not to DO,,,,,N/A,,
99,TO.be_to_do,BE to DO,AFF. DEC.,B1.2,B1,,N/A,,単なる主格補語がほとんど
99-1,TO.be_not_to_do,BE not to DO,NEG. DEC.,,,,N/A,,単なる主格補語がほとんど
100,TO.be_about_to_do,BE about to DO,AFF. DEC.,,,,B2,,
100-1,TO.be_not_about_to_do,BE not about to DO,NEG. DEC.,,,,N/A,,
101,TO.VV_to_do,VERB to DO,,A1.2,A1,A2,A1-B2,B1,動詞はbe・haveを除く
102,TO.VV_not_to_do,VERB not to DO,,,B2,,A1-B2,,動詞はbe・haveを除く
103,TO.VV_NP_to_do,VERB OBJECT to DO,,A1.2,A1,,B1,,動詞はbe・haveを除く;単なるSVO+目的/名詞修飾のto不定詞も含まれる
104,TO.VV_NP_not_to_do,VERB OBJECT not to DO,,,,,N/A,,動詞はbe・haveを除く
105,VG,V-ING (not preceded by 'not'),,A1.1,A1,A2,B1-B2,B1,動名詞と現在分詞の区別はできないため現在分詞も含ま
106,VG.not_VG,not+V-ING,,B2.1,B1,,N/A,,動名詞と現在分詞の区別はできないため現在分詞も含ま
107,VG.having_VN,having+PAST PARTICIPLE,,,B2,,B2,C1,形容詞的な過去分詞も含まれる
108,VG.being_VN,being+PAST PARTICIPLE,,B2.1,B2,,B2,,動名詞と現在分詞の区別はできないため現在分詞のbeingも含まれる;形容詞的な過去分詞も含まれる
109,VG.having_been_VN,having been+PAST PARTICIPLE,,,,,C2,,形容詞的な過去分詞も含まれる
110,VG.PREP_VG,PREP+V-ING,,A1.3,A1,,"A2, C2",,動名詞と現在分詞の区別はできないため形容詞的な現在分詞も含まれる
111,VG.PGEN_VG,V-ING: WITH NOTIONAL SUBJECT (expressed as possessive pronouns),,,,,B2,,動名詞と現在分詞の区別はできないため現在分詞も含まれる;目的格代名詞・名詞句+'s・名詞句は誤認識がほとんどのため除く;mind+人+doingなどは動詞+目的語+動詞-ing
112,VG.VV_VG,VERB V-ING,,A1.2,A1,A1-A2,B2,,動詞はbe/haveを除く
113,VG.VV_not_VG,VERB not V-ING,,,,,B2,,動詞はbe/haveを除く
114,VG.VV_NP_VG,VERB OBJECT V-ING,,A2.2,A2,,B2,,動詞はbe/haveを除く;動名詞と現在分詞の区別はできないため現在分詞が多く含まれる
115,VG.VV_NP_not_VG,VERB OBJECT not V-ING,,,,,B2,,動詞はbe/haveを除く;ほとんどが誤認識
116,IMP.be.AFF,IMPERATIVE (BE),AFF. IMP.,,,,N/A,,カンマ後を除く文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定
116-1,IMP.be.NEG,IMPERATIVE (BE),NEG. IMP,,,,N/A,,文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定
117,IMP.V.AFF,IMPERATIVE: AFFIRMATIVE (lexical verbs),AFF. IMP.,A1.1,A1,A1-A2,A2-C1,A1,カンマ後を除く文頭(相当)または接続詞直後の位置・途中に 句読点なし・終止符または感嘆符で終わる文に限定；do・ haveの場合は否定命令・強調命令・疑問文を除くためnot・ 動詞原形・you・we・theyが後続しないものに限定
117-1,IMP.V.NEG,IMPERATIVE: AFFIRMATIVE (lexical verbs),NEG. IMP,B1.1,A1,A1-A2,"A2, B1-C2",A1,文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定
118,IMP.do_V,Do+IMPERATIVE,AFF. IMP.,,,,B1,A1,文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定
119,IMP.please_V.AFF,Please+INFINITIVE,AFF. IMP.,,A1,A2,B2,A1,文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定;pleaseに付与されるタグは様々
119-1,IMP.please_V.NEG,Please+don't/never+INFINITIVE,NEG. IMP,,,A2,N/A,A1,文頭(相当)または接続詞直後の位置・途中に句読点なし・終止符または感嘆符で終わる文に限定;pleaseに付与されるタグは様々
120,IMP.let's_V.AFF,let's (not followed by 'not'),AFF. DEC.,A1.3,A1,,A2,A1,letと'sに付与される品詞タグは様々
120-1,IMP.let's_V.NEG,let's not,NEG. DEC.,,,,B2,A1,letと'sに付与される品詞タグは様々
121,MD.be_able_to.AFF,MODAL/AUX: be able to,AFF. DEC.,B1.1,B1,,A2-B1,,beの時制・相は問わない
121-1,MD.be_able_to.NEG,MODAL/AUX: be able to,NEG. DEC.,,,,N/A,,beの時制・相は問わない
121-2,MD.be_able_to.INT.AFF,MODAL/AUX: be able to,AFF. INT.,,,,N/A,,beの時制・相は問わない;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
121-3,MD.be_able_to.INT.NEG,MODAL/AUX: be able to,NEG. DEC.,,,,N/A,,beの時制・相は問わない;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
122,MD.be_going_to.AFF,MODAL/AUX: be going to,AFF. DEC.,A2.2,A2,A1-B2,"A2, B1",,beの時制・相は問わない
122-1,MD.be_going_to.NEG,MODAL/AUX: be going to,NEG. DEC.,,,A1-B2,B1,,beの時制・相は問わない
122-2,MD.be_going_to.INT.AFF,MODAL/AUX: be going to,AFF. INT.,,,A1-B2,A2,,beの時制・相は問わない;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
122-3,MD.be_going_to.INT.NEG,MODAL/AUX: be going to,NEG. DEC.,,,A1-B2,B1,,beの時制・相は問わない;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
123,MD.can.AFF,MODAL/AUX: can,AFF. DEC.,A1.2,A1,A1-A2,A1-C2,A1,
123-1,MD.can.NEG,MODAL/AUX: can,NEG. DEC.,,B2,A1-B1,A1-C1,A1,
123-2,MD.can.INT.AFF,MODAL/AUX: can,AFF. INT.,A1.2,A1,A1-A2,A1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
123-3,MD.can.INT.NEG,MODAL/AUX: can,NEG. DEC.,,,A1-A2,A1-B1,A1,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
124,MD.could.AFF,MODAL/AUX: could,AFF. DEC.,B1.1,B1,A2,A2-C2,A2,
124-1,MD.could.NEG,MODAL/AUX: could,NEG. DEC.,B1.1,B1,A2,A2,A2,
124-2,MD.could.INT.AFF,MODAL/AUX: could,AFF. INT.,,B1,A2,A2,A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;動詞がV.Pと誤認識されていることもある
124-3,MD.could.INT.NEG,MODAL/AUX: could,NEG. DEC.,,,A2,"B2, C2",A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;動詞がV.Pと誤認識されていることもある
125,MD.dare.AFF,MODAL/AUX: dare (to),AFF. DEC.,,,,B2-C2,,dare to(dareの時制・相は問わない)を含む
125-1,MD.dare.NEG,MODAL/AUX: dare (to),NEG. DEC.,,,,"B2, C2",,dare to(dareの時制・相は問わない)を含む
125-2,MD.dare.INT.AFF,MODAL/AUX: dare (to),AFF. INT.,,,,C1,,dare toを含む；文頭(相当)または接続詞直後の位置・疑問 符で終わる文に限定
125-3,MD.dare.INT.NEG,MODAL/AUX: dare (to),NEG. INT.,,,,C1,,dare toを含む;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
126,MD.had_better.AFF,MODAL/AUX: had better,AFF. DEC.,,B2,,N/A,,疑問文はなし
126-1,MD.had_better.NEG,MODAL/AUX: had better,NEG. DEC.,,,,N/A,,疑問文はなし
127,MD.have_to.AFF,MODAL/AUX: have to,AFF. DEC.,A2.2,A2,A2-B1,A2-C2,A2,haveの時制・相は問わない
127-1,MD.have_to.NEG,MODAL/AUX: have to,NEG. DEC.,B2.2,B1,A2-B1,A2,B1,
127-2,MD.have_to.INT.AFF,MODAL/AUX: have to,AFF. INT.,,,A2-B1,A2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
127-3,MD.have_to.INT.NEG,MODAL/AUX: have to,NEG. DEC.,,,A2-B1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
128,MD.have_got_to.AFF,MODAL/AUX: (have) got to,AFF. DEC.,,B2,,A2-C2,,haveの時制・相は問わない(が通常はhave・hasとまれにhadがあるのみ);疑問文を除くため終止符または感嘆符で終わる文に限定
128-1,MD.have_got_to.NEG,MODAL/AUX: have got to,NEG. DEC.,,,,A2,,haveの時制・相は問わない(が通常はhave・hasとまれにhadがあるのみ)
128-2,MD.have_got_to.INT.AFF,MODAL/AUX: have got to,AFF. INT.,,,,A2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
128-3,MD.have_got_to.INT.NEG,MODAL/AUX: have got to,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
129,MD.may.AFF,MODAL/AUX: may,AFF. DEC.,B1.1,B1,A2-B1,"A2-B1, C2",B2,
129-1,MD.may.NEG,MODAL/AUX: may,NEG. DEC.,,B2,A2-B1,"B1, C1",,
129-2,MD.may.INT.AFF,MODAL/AUX: may,AFF. INT.,,,A2-B1,B1-B2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
129-3,MD.may.INT.NEG,MODAL/AUX: may,NEG. INT.,,,A2-B1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
130,MD.may_as_well.AFF,MODAL/AUX: may as well,AFF. DEC.,,,,C2,,
130-1,MD.may_as_well.NEG,MODAL/AUX: may as well,NEG. DEC.,,,,N/A,,
130-2,MD.may_as_well.INT.AFF,MODAL/AUX: may as well,AFF. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
130-3,MD.may_as_well.INT.NEG,MODAL/AUX: may as well,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
131,MD.may_well.AFF,MODAL/AUX: may well,AFF. DEC.,,,,C1,,
131-1,MD.may_well.NEG,MODAL/AUX: may well,NEG. DEC.,,,,N/A,,
131-2,MD.may_well.INT.AFF,MODAL/AUX: may well,AFF. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
131-3,MD.may_well.INT.NEG,MODAL/AUX: may well,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
132,MD.might.AFF,MODAL/AUX: might,B1.1,B1,A2-B1,A2-C2,B2,,
132-1,MD.might.NEG,MODAL/AUX: might,,B2,A2-B1,B1-C1,,,
132-2,MD.might.INT.AFF,MODAL/AUX: might,,,A2-B1,C1,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
132-3,MD.might.INT.NEG,MODAL/AUX: might,,,A2-B1,N/A,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
133,MD.might_as_well.AFF,MODAL/AUX: might as well,,,,C2,,,
133-1,MD.might_as_well.NEG,MODAL/AUX: might as well,,,,N/A,,,
133-2,MD.might_as_well.INT.AFF,MODAL/AUX: might as well,,,,N/A,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
133-3,MD.might_as_well.INT.NEG,MODAL/AUX: might as well,,,,N/A,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
134,MD.might_well.AFF,MODAL/AUX: might well,,,,N/A,,,
134-1,MD.might_well.NEG,MODAL/AUX: might well,,,,N/A,,,
134-2,MD.might_well.INT.AFF,MODAL/AUX: might well,,,,N/A,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
134-3,MD.might_well.INT.NEG,MODAL/AUX: might well,,,,N/A,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
135,MD.must.AFF,MODAL/AUX: must,B1.1,B1,A2-B1,A2-C2,A2,,
135-1,MD.must.NEG,MODAL/AUX: must,,,A2-B1,A2-C2,,,
135-2,MD.must.INT.AFF,MODAL/AUX: must,,,A2-B1,B2,A2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
135-3,MD.must.INT.NEG,MODAL/AUX: must,,,A2-B1,N/A,,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
136,MD.need.AFF,MODAL/AUX: need (to),A2.2,A2,B1,A2,B1,,needの時制・相は問わない
136-1,MD.need.NEG,MODAL/AUX: need (to),,B1,B1,B2-C1,B1,,needの時制・相は問わない
136-2,MD.need.INT.AFF,MODAL/AUX: need (to),,,B1,C2,,,needの時制・相は問わない;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
136-3,MD.need.INT.NEG,MODAL/AUX: need (to),,,B1,N/A,,,needの時制・相は問わない;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
137,MD.ought_to.AFF,MODAL/AUX: ought to,AFF. DEC.,,B2,B1,B1-C1,B1,
137-1,MD.ought_to.NEG,MODAL/AUX: ought to,NEG. DEC.,,,B1,C2,B1,
137-2,MD.ought_to.INT.AFF,MODAL/AUX: ought to,AFF. INT.,,,B1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
137-3,MD.ought_to.INT.NEG,MODAL/AUX: ought to,NEG. INT.,,,B1,C2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
138,MD.shall.AFF,MODAL/AUX: shall,AFF. DEC.,,,,A2-C2,B2,
138-1,MD.shall.NEG,MODAL/AUX: shall,NEG. DEC.,,,,C1,,
138-2,MD.shall.INT,MODAL/AUX: shall,AFF. INT.,,,,A2,A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
138-3,MD.shall.NEG.INT,MODAL/AUX: shall,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
139,MD.should.AFF,MODAL/AUX: should,AFF. DEC.,A2.1,A2,A2,A2-C1,A2,
139-1,MD.should.NEG,MODAL/AUX: should,NEG. DEC.,B1.2,B1,A2,B1-B2,"A2,B2",
139-2,MD.should.INT.AFF,MODAL/AUX: should,AFF. INT.,,,A2,A2,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
139-3,MD.should.INT.NEG,MODAL/AUX: should,NEG. INT.,,,A2,B1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
140,MD.used_to.AFF,MODAL/AUX: used to,AFF. DEC.,B1.1,B1,A2-C1,"B1, C2",B1,usedがVVNと誤認識されていることも多い
140-1,MD.used_to.NEG,MODAL/AUX: used to,NEG. DEC.,,,A2-C1,"B1, C2",,
140-2,MD.used_to.INT.AFF,MODAL/AUX: used to,AFF. INT.,,,A2-C1,C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
140-3,MD.used_to.INT.NEG,MODAL/AUX: used to,NEG. INT.,,,A2-C1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
141,MD.will.AFF,MODAL/AUX: will,AFF. DEC.,A2.2,A2,A2-B2,A1-C2,A1-B1,
141-1,MD.will.NEG,MODAL/AUX: will,NEG. DEC.,B1.1,B1,A2-B2,A2,B1,
141-2,MD.will.INT.AFF,MODAL/AUX: will,AFF. INT.,,,A2-B2,A2,A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
141-3,MD.will.INT.NEG,MODAL/AUX: will,NEG. INT.,,,A2-B2,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;動詞がV.Pと誤認識されていることもある
142,MD.would.AFF,MODAL/AUX: would,AFF. DEC.,A2.1,A1,B1-B2,A1-C2,"A1,B1,B2",
142-1,MD.would.NEG,MODAL/AUX: would,NEG. DEC.,B2.1,B1,B1-B2,"A2, B1","A1,A2,B1",
142-2,MD.would.INT.AFF,MODAL/AUX: would,AFF. INT.,,B1,B1-B2,"A2, B1",A2,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
142-3,MD.would.INT.NEG,MODAL/AUX: would,NEG. INT.,,,B1-B2,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
143,MD.would_rather.AFF,MODAL/AUX: would rather,AFF. DEC.,,,,N/A,A2,
143-1,MD.would_rather.NEG,MODAL/AUX: would rather,NEG. DEC.,,,,N/A,,
143-2,MD.would_rather.INT.AFF,MODAL/AUX: would rather,AFF. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
143-3,MD.would_rather.INT.NEG,MODAL/AUX: would rather,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
144,MD.MD_PRG.AFF,AUX+PROGRESSIVE,AFF. DEC.,B2.1,B2,,B2,,助動詞はMDに限定
144-1,MD.MD_PRG.NEG,AUX+PROGRESSIVE,NEG. DEC.,,,,N/A,,助動詞はMDに限定
144-2,MD.MD_PRG.INT.AFF,AUX+PROGRESSIVE,AFF. INT.,,,,N/A,,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
144-3,MD.MD_PRG.INT.NEG,AUX+PROGRESSIVE,NEG. INT.,,,,N/A,,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
145,MD.MD_PF.AFF,AUX+PERFECT,AFF. DEC.,B2.1,B2,B1,"B1-B2, C2",C1,助動詞はMDに限定;完了進行も含まれる
145-1,MD.MD_PF.NEG,AUX+PERFECT,NEG. DEC.,B2.2,B2,B1,"B1, C2",,助動詞はMDに限定;完了進行も含まれる
145-2,MD.MD_PF.INT.AFF,AUX+PERFECT,AFF. INT.,,,B1,N/A,,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
145-3,MD.MD_PF.INT.NEG,AUX+PERFECT,NEG. INT.,,,B1,N/A,,助動詞はMDに限定;文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
146,EX.there.AFF,there+be,AFF. DEC.,A1.2,A1,A1,A1-B2,A1,文頭(相当)または接続詞直後の位置に限定
146-1,EX.there.NEG,there+be,NEG. DEC.,,A1,A1,B1,A1,文頭(相当)または接続詞直後の位置に限定
146-2,EX.there.INT.AFF,there+be,AFF. INT.,,A1,A1,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;thereがRBと誤認識されていることも多い
146-3,EX.there.INT.NEG,there+be,NEG. INT.,,,A1,C1,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
147,EX.there.PF.AFF,there+have/has+been,AFF. DEC.,,B2,,N/A,,文頭(相当)または接続詞直後の位置に限定
147-1,EX.there.PF.NEG,there+have/has+been,NEG. DEC.,,,,N/A,,文頭(相当)または接続詞直後の位置に限定
147-2,EX.there.PF.INT.AFF,there+have/has+been,AFF. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
147-3,EX.there.PF.INT.NEG,there+have/has+been,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定
148,EX.there.MD.AFF,there+AUX+be,AFF. DEC.,,B2,,"B1-B2, C1",,文頭(相当)または接続詞直後の位置に限定;助動詞はMDに限定
148-1,EX.there.MD.NEG,there+AUX+be,NEG. DEC.,,,,N/A,,文頭(相当)または接続詞直後の位置に限定;助動詞はMDに限定
148-2,EX.there.MD.INT.AFF,there+AUX+be,AFF. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;助動詞はMDに限定
148-3,EX.there.MD.INT.NEG,there+AUX+be,NEG. INT.,,,,N/A,,文頭(相当)または接続詞直後の位置・疑問符で終わる文に限定;助動詞はMDに限定
149,EX.here.AFF,here is/are,AFF. DEC.,B1.1,A1,,N/A,,文頭(相当)または接続詞直後の位置に限定;toが後続しないものに限定
150,CC,COORDINATING CONJUNCTIONS,,A1.1,A1,A1,A1-B1,,
151,CL.that.APP,the fact(s) that+CLAUSE,,,B2,,B2,,名詞はfactに限定;名詞句・代名詞が後続するものに限定
152,CL.that.OBJ,V+that+CLAUSE,,A2.1,A1,,A2-B1,A2,直接目的語に限定
153,CL.WH.OBJ,know/wonder+WH-(CLAUSE) (except for 'whether'),,B1.1,B1,,"A2, C1-C2",,動詞はknow/wonderに限定;接続詞のwh-に限定するために名詞句・代名詞が後続するものに限定;what/which+名詞も含まれる
154,CL.WH.whether,whether,,B2.1,B2,,B1,B2,副詞節・目的語・主語・補語などの分類は困難
155,CL.when,ADVERBIAL CLAUSE: when,,A1.2,A1,,A2,B1,接続詞と疑問詞が区別されないため途中に句読点なし・終 止符または感嘆符で終わる文に限定
156,CL.if,ADVERBIAL CLAUSE: if,,A2.1,A2,A2,"A2, C1",,仮定法の場合も含まれる
157,CL.as,ADVERBIAL CLAUSE: as,,A2.1,A2,,B2,,前置詞のasも完全に排除はできない
158,CL.as_soon_as,ADVERBIAL CLAUSE: as soon as,,,B1,,B2-B1,B1,
159,CL.by_the_time,ADVERBIAL CLAUSE: by the time,,,,,C1,,
160,CL.so_that,ADVERBIAL CLAUSE: so that,,B2.1,B1,,B1,,
161,CL_after.etc,SUBORDINATE CLAUSE: after/albeit/although/because/before/despite/except/for/lest/like/once/since/so/than/though/till/unless/until/where/whereas/wheresoever/whether/while/whilst tagged as IN,,A1.1,A1,,"B2, C2",,INのタグのついたafter/albeit/although/because/before/despite/except/for/lest/like/once/since/so/than/though/till/unless/until/where/whereas/wheresoever/whether/while/whilstに限定;前置詞も完全に排除はできない
162,CL.that.OMIT,hope/know/think+CLAUSE (without 'that'),,A1.2,A1,,A2,A2,動詞はhope/know/thinkに限定;節部分は名詞句・代名詞+(助)動詞・副詞に限定
163,PP.it_to_do.AFF,it+BE(+ADV)+ADJ(+for+NP)+to+INFINITIVE,AFF. DEC.,,A2,,B1,B1,文頭(相当)または接続詞直後の位置に限定;it(+助動詞)+{be}(+副詞)+形容詞(+for+名詞句・代名詞)+to+動詞に限定
163-1,PP.it_to_do.NEG,it+BE(+ADV)+ADJ(+for+NP)+to+INFINITIVE,NEG. DEC.,,,,N/A,B1,文頭(相当)または接続詞直後の位置に限定;it+(助動詞+{not}+{be}|{be}+{not})(+副詞)+形容詞(+for+名詞句・代名詞)+to+動詞に限定
163-2,PP.it_to_do.INT.AFF,it+BE(+ADV)+ADJ(+for+NP)+to+INFINITIVE,AFF. INT.,,,,N/A,B1,(助動詞+it+be|{be}+it)(+副詞)+形容詞(+for+名詞句・代名詞)+to+動詞に限定;疑問符で終わる文に限定
163-3,PP.it_to_do.INT.NEG,it+BE(+ADV)+ADJ(+for+NP)+to+INFINITIVE,NEG. INT.,,,,N/A,,(助動詞+n't+it+be|助動詞+it+not+be|{be}+n't+it|{be}+it+not)(+副詞)+形容詞(+for+名詞句・代名詞)+to+動詞に限定;疑問符で終わる文に限定
